"","StateName","Estimate; Total:","Estimate; Income in the past 12 months below poverty level:","Estimate; Income in the past 12 months at or above poverty level:"
"2","Alabama",3729530,16.485964719415,83.5140352805849
"3","Alaska",539541,9.09828910129165,90.9017108987083
"4","Arizona",5067497,15.9445185660692,84.0554814339308
"5","Arkansas",2250205,16.8376214611558,83.1623785388442
"6","California",29616369,14.5796164276586,85.4203835723414
"7","Colorado",4044220,11.5932614941818,88.4067385058182
"8","Connecticut",2800174,9.54579965387865,90.4542003461214
"9","Delaware",719520,10.6055425839449,89.3944574160551
"10","District of Columbia",512006,16.4058624312996,83.5941375687004
"11","Florida",15681104,14.7808406857068,85.2191593142932
"12","Georgia",7518970,16.0424100641444,83.9575899358556
"13","Hawaii",1068818,10.4353594344407,89.5646405655593
"14","Idaho",1204312,14.2390011890606,85.7609988109394
"15","Illinois",9931162,12.6688699670794,87.3311300329206
"16","Indiana",4986866,13.3879474603889,86.6120525396111
"17","Iowa",2356486,11.5219441150934,88.4780558849066
"18","Kansas",2161589,12.1666514772235,87.8333485227765
"19","Kentucky",3370290,16.8825828044471,83.1174171955529
"20","Louisiana",3506612,17.359405602901,82.640594397099
"21","Maine",1066933,12.8258288008713,87.1741711991287
"22","Maryland",4594061,9.10301365175604,90.896986348244
"23","Massachusetts",5257407,10.7163093897809,89.2836906102191
"24","Michigan",7738287,14.8763414952172,85.1236585047828
"25","Minnesota",4173816,10.3440592493775,89.6559407506224
"26","Mississippi",2239227,19.7567732078972,80.2432267921028
"27","Missouri",4640568,13.9003242706496,86.0996757293504
"28","Montana",791357,14.0396812058275,85.9603187941725
"29","Nebraska",1403368,11.4052764492279,88.5947235507721
"30","Nevada",2172626,13.6162873867845,86.3837126132155
"31","New Hampshire",1049519,8.15668892130585,91.8433110786941
"32","New Jersey",6958104,9.55869587462332,90.4413041253767
"33","New Mexico",1590965,18.5101495004604,81.4898504995396
"34","New York",15458170,14.0440039150818,85.9559960849182
"35","North Carolina",7526385,15.4181589169302,84.5818410830698
"36","North Dakota",549200,10.9153313911143,89.0846686088857
"37","Ohio",8946262,13.8108966627626,86.1891033372374
"38","Oklahoma",2892611,14.7817317987106,85.2182682012894
"39","Oregon",3115493,15.1539419282919,84.8460580717081
"40","Pennsylvania",10004890,12.0243900732542,87.9756099267458
"41","Rhode Island",825565,12.756596997208,87.243403002792
"42","South Carolina",3673615,15.677364122261,84.322635877739
"43","South Dakota",630607,12.8033783323052,87.1966216676948
"44","Tennessee",5020752,15.444957249432,84.555042750568
"45","Texas",19640591,14.7749525459799,85.2250474540201
"46","Utah",2055514,11.5117678595232,88.4882321404768
"47","Vermont",496361,10.7101484604955,89.2898515395045
"48","Virginia",6300186,10.6004965567683,89.3995034432317
"49","Washington",5426220,12.220698755303,87.7793012446971
"50","West Virginia",1466914,16.2792774491211,83.7207225508789
"51","Wisconsin",4452455,11.5931098686006,88.4068901313994
"52","Wyoming",442980,10.600252833085,89.399747166915
"53","Puerto Rico",2854822,42.4879029235448,57.5120970764552
